Drug Name,SMILES,logS,Number of Nodes,Number of Edges,Number of Edge Attributes,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,drugbank_id,Drug Type,chembl
GOSERELIN,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,-0.7115751430975799,91,96,3,1,1269.4330000000004,17,6,31,495.8899999999999,DB00014,Drug,
CETRORELIX,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CCCNC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C,0.2701427717291631,102,107,3,1,1431.0639999999996,16,6,38,498.1699999999998,DB00050,Drug,
CYCLOSPORINE,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,0.9586986382956049,85,85,2,1,1202.6349999999982,5,1,15,278.8,DB00091,Drug,
OCTREOTIDE,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O,-5.389340731231554,71,75,3,1,1019.2610000000002,13,5,17,332.22,DB00104,Drug,
S-ADENOSYLMETHIONINE,C[S+](CCC(C(=O)O)N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,-1.446795543124403,27,29,3,1,399.45300000000015,5,3,7,182.62999999999997,DB00118,Drug,
ASPARTAME,C1=CC=C(C=C1)CC(C(=O)O)N,1.6872446989786312,12,12,3,1,165.19199999999998,2,1,3,63.31999999999999,DB00120,Drug,
CHOLINE,C[N+](C)(C)CCO,-4.804373948960848,7,6,1,1,104.17299999999999,1,0,2,20.23,DB00122,Drug,
ASCORBIC ACID,C(C(C1C(=C(C(=O)O1)O)O)O)O,1.7537354353501726,12,12,2,1,176.124,4,1,2,107.22000000000001,DB00126,Drug,
GLUTATHIONE,C(CC(=O)N)C(C(=O)O)N,0.4845770733661281,10,9,2,1,146.146,3,0,4,106.41,DB00130,Drug,
GLUTATHIONE,C(CC(=O)N)C(C(=O)O)N,-1.4860116865828221,10,9,2,1,146.146,3,0,4,106.41,DB02174,Drug,
NAD,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,-4.325670819379383,23,25,3,1,347.22400000000005,5,3,4,186.07,DB00131,Drug,
ALPHA-LINOLENIC ACID,CCC=CCC=CCC=CCCCCCCCC(=O)O,-5.416465556217698,20,19,2,1,278.4359999999999,1,0,13,37.3,DB00132,Drug,
METHIONINE,CSCCC(C(=O)O)N,-2.6086762265596075,9,8,2,1,149.215,2,0,4,63.31999999999999,DB00134,Drug,
"1,25-DIHYDROXYVITAMIN D",CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,-1.8866864282294609,30,32,2,1,416.6460000000002,3,3,6,60.69,DB00136,Drug,
CALCITRIOL,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,-0.7005580369866022,30,32,2,1,416.6460000000002,3,3,6,60.69,DB00136,Drug,
CHOLECALCIFEROL,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,-1.110054787813847,30,32,2,1,416.6460000000002,3,3,6,60.69,DB00136,Drug,
LUTEOLIN,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,-4.000745528932084,30,32,2,1,416.6460000000002,3,3,6,60.69,DB00136,Drug,
FUMARIC ACID,C(CC(=O)O)C(=O)O,-3.8540516237110105,8,7,2,1,118.08799999999998,2,0,3,74.6,DB00139,Drug,
MALEIC ACID,C(CC(=O)O)C(=O)O,1.448238665759492,8,7,2,1,118.08799999999998,2,0,3,74.6,DB00139,Drug,
RIBOFLAVIN,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,-6.912563360061004,27,29,3,1,376.369,5,3,5,161.56,DB00140,Drug,
ACETYLGLUCOSAMINE,CC(=O)NC(C=O)C(C(C(CO)O)O)O,1.337950161909431,15,14,2,1,221.20899999999997,5,0,6,127.09000000000002,DB00141,Drug,
GLUTATHIONE,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,-3.3359802773580047,20,19,2,1,307.32800000000003,6,0,9,158.82000000000002,DB00143,Drug,
GLUTATHIONE DISULFIDE,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,-2.3854122192375753,20,19,2,1,307.32800000000003,6,0,9,158.82000000000002,DB00143,Drug,
ADENINE,C(C(=O)O)N,-1.3403057083880574,5,4,2,1,75.06700000000001,2,0,1,63.31999999999999,DB00145,Drug,
GLYCINE,C(C(=O)O)N,-1.9915123974555051,5,4,2,1,75.06700000000001,2,0,1,63.31999999999999,DB00145,Drug,
CALCIFEDIOL,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,-3.767749137884672,29,31,2,1,400.6470000000002,2,3,6,40.46,DB00146,Drug,
CREATINE,CN(CC(=O)O)C(=N)N,1.561618756842039,9,8,2,1,131.13499999999996,3,0,2,90.41000000000001,DB00148,Drug,
ACETYLCYSTEINE,C(C(C(=O)O)N)S,-5.062977445918402,7,6,2,1,121.16099999999999,3,0,2,63.31999999999999,DB00151,Drug,
